TV	Radio	Social_Media	Sales
16	6.566230788	2.907982773	54.73275715
13	9.237764567	2.409567204	46.67789698
41	15.88644602	2.913410175	150.1778288
83	30.02002826	6.922303959	298.2463398
15	8.437407682	1.40599815	56.5941808
29	9.614382036	1.02716349	105.8891476
55	24.89381148	4.273602146	198.6798248
31	17.35504181	2.289854925	108.7339319
76	24.64889821	7.130115956	270.1894
13	0.431127823	2.229423022	48.28058223
62	24.34518879	5.151483172	224.9610192
42	15.8073374	3.194924641	145.5439916
64	20.24042393	3.921147972	229.6323807
	22.35166709	3.031815334	276.1653513
34	0.226326491	2.372705624	121.3364193
36	3.90019598	0.060401795	123.5261126
60	22.35372075	0.940801841	212.7643968
